test_type,value,final_train_loss,final_train_acc,final_val_loss,final_val_acc,status
learning_rate,0.001,12.087873284618384,0.012782418146714103,12.084771818928905,0.012806741123711302,OK
learning_rate,0.0005,0.8111811614736647,0.7499390374424603,0.83784584178553,0.7444325136551478,OK
learning_rate,0.0001,0.9752707148842866,0.7019636242816759,0.9808054233526254,0.7011047994410887,OK
learning_rate,5e-05,1.3071621559183515,0.5915964588851265,1.310368729102147,0.5905367419815314,OK
nlayers,6,1.0134619207016602,0.6902610972706458,1.0177615981597405,0.6894729108233933,OK
nlayers,8,0.9754396036242972,0.7022613322682744,0.9811392542603729,0.7012005952746372,OK
nlayers,12,0.9281725076438941,0.7175814283093371,0.9366805220579172,0.7161029029935119,OK
batch_size,32,0.9043150943313493,0.7240290545669369,0.9162468704416231,0.7218546976627741,OK
batch_size,64,0.9665253780794377,0.7049387833039138,0.972189133043413,0.7039100968541483,OK
batch_size,128,1.1001914916864408,0.6626083021421871,1.1011995990555008,0.66272976785732,OK
